字段1,字段2,字段3,字段4,字段5,字段6,字段7,字段8,字段9,字段10,字段11
320****740,5分 超棒,身为成都人还第一次来熊猫基地，一直听身边人强烈推荐，带小孩过来亲子游非常适合，目前交通也挺方便的，自驾车的话有“欢欢”“迎迎”两个停车场，坐公共交通出行可以乘坐地铁3号线到熊猫大道下转乘景区直通车10分钟就到，成都7-8月高温一定要早点进园区，早点来的话可以看到很多熊猫宝宝在户外活动，园区挺大的，如果不坐观光车，要步行5个小时左右才能逛完，里面还有小熊猫馆，特别有意思，我们今天就来的比较晚，都快被晒死了，幸好中午在熊猫广场吃饭时发现这里还有个免税店，进去逛了一下感觉和三亚价格差不多，顺便就带了一些防晒和喷雾，赶紧给自己降降温，总之这里挺推荐的。,2022-07-08IP属地：未知,IP属地：未知,"
点赞",,2022-07-08IP属地：未知,IP属地：未知,"
点赞",
陌上花开,5分 超棒,四川成都大熊猫繁育基地里有一二百只大熊猫，是中国大熊猫最多的熊猫馆。在月亮产房里可以看到刚出生的大熊猫。这里的大熊猫活泼可爱，引起众多游客围观。记得临走买只大熊猫毛绒玩具吆。,2022-07-29IP属地：山东,IP属地：山东,"
1",,2022-07-29IP属地：山东,IP属地：山东,"
1",
M42****357,5分 超棒,这里绝对是去了在也不想去的地方，基地内环境还是不错的，就是不要中午去熊猫都吃饭睡午觉了，里面配套设施太差整个景区内大热天的居然没有买到一瓶水更别说别的了,2022-08-29IP属地：四川,IP属地：四川,"
点赞",,2022-08-29IP属地：四川,IP属地：四川,"
点赞",
泡芙小妹妹,5分 超棒,超级可爱的熊猫宝宝 去成都必去打卡之地 运气好的话还可以遇到刚出生需要喝奶的baby 每个熊猫都有自己的名字 特别温顺 适合亲子打卡游玩 还有很多周边可以购买！,2022-09-12IP属地：安徽,IP属地：安徽,"
点赞",,2022-09-12IP属地：安徽,IP属地：安徽,"
点赞",
陌上花开,5分 超棒,四川成都大熊猫繁育基地是全国最有名的大熊猫乐园。最小的在月亮产房，其余的按大大小小安置。这里的大熊猫活泼可爱，经常惹得游客围观哄笑。别忘了临走买一只大熊猫毛绒玩具吆。,2022-06-29IP属地：未知,IP属地：未知,"
1",,2022-06-29IP属地：未知,IP属地：未知,"
1",
286****628,5分 超棒,开心的成都之旅，不仅吃到美食，更近距离接触了可爱的大熊猫。一定要早去，进了园区先去看熊猫宝宝。不然人会非常多，回去的时候再慢慢看其它的熊猫。,2022-08-11IP属地：天津,IP属地：天津,"
点赞",,2022-08-11IP属地：天津,IP属地：天津,"
点赞",
135****7708,4分 满意,来成都怎么能不看国宝。看了好多攻略决定起早前往。地铁坐到军区总医院后网约车到达老区。下车步行近一公里，这次没坐电瓶车，进园区开始各种爬山。排队，开放场馆不多，熊猫没有几个，室内写着禁止喧哗，但是工作人员的大喇叭比谁声音都大，好多场馆都不开，写着装修，要不就是因为发情期或者其他理由关闭，到达熊猫塔，是去往新区的最后一站，电瓶车等待时间太长，经常有排队时间长吵架的情况发生，希望园区管理部门协调一下。,2022-07-07IP属地：未知,IP属地：未知,"
1",,2022-07-07IP属地：未知,IP属地：未知,"
1",
@小清新@,5分 超棒,今天游玩真的很不错，不是在旅游旺季来的，人也不太多，之前做的攻略，去了以后觉得攻略也挺有用的，老区熊猫更憨态可掬，它们都在室外，新区熊猫都在各个馆，各有特色，孩子特别开心！,2022-08-26IP属地：四川,IP属地：四川,"
点赞",,2022-08-26IP属地：四川,IP属地：四川,"
点赞",
286****628,5分 超棒,近距离接触熊猫很开心。尤其是熊猫宝宝太可爱了。就是排队人太对。摆渡车可以不用坐，园区整体都是很干净。门口公交车方便，直接送到地铁站。,2022-08-11IP属地：天津,IP属地：天津,"
点赞",,2022-08-11IP属地：天津,IP属地：天津,"
点赞",
北遇落魄,5分 超棒,景色优美，但不适合天热的时候去，等天气凉爽之后，熊猫们会在户外出行。地方挺大，而且国宝们都超级可爱，性价比很棒，来成都的必去之地。,2022-09-13IP属地：甘肃,IP属地：甘肃,"
点赞",,2022-09-13IP属地：甘肃,IP属地：甘肃,"
点赞",
浅月花影,5分 超棒,国宝大熊猫憨态可掬好可爱啊，但是也好懒，饲养员把苹果送到眼前它都不转一下头，但是非常幸运看到大熊猫吃苹果的样子，非常值得一游,2022-08-19IP属地：广东,IP属地：广东,"
点赞",,2022-08-19IP属地：广东,IP属地：广东,"
点赞",
M22****449,5分 超棒,顶着37度的高温去看可爱的熊猫🐼看到小熊猫心瞬间被萌化，有嬉戏打闹的、有趴着睡觉的、有吃竹子的、还有在镜头前打滚卖萌的，熊猫宝宝实在太可爱了。,2022-08-12IP属地：广东,IP属地：广东,"
1",,2022-08-12IP属地：广东,IP属地：广东,"
1",
🐶 都不爱的东西,5分 超棒,大多数熊猫都在湖泊区（其他都是新区），最好德时间建议九点之后（因为九点之前的熊猫好像不怎么有精神），不过。还是跟可爱值了！,2022-08-31IP属地：四川,IP属地：四川,"
点赞",,2022-08-31IP属地：四川,IP属地：四川,"
点赞",
M33****842,5分 超棒,夏天好像熊猫不太爱动得一大早起来去排队进去，每个熊猫别墅都很挤，暑假人太多了，但是学生没办法，而且因为天热熊猫只出来一会会,2022-08-13IP属地：江苏,IP属地：江苏,"
点赞",,2022-08-13IP属地：江苏,IP属地：江苏,"
点赞",
E12****60,4分 满意,需要早点去，9点到那已经看不到花花了，几乎全部的熊猫都已经回到室内了。老园还是不错的新园感觉没必要去。南门口负责游览车的小姐姐态度非常不好，一副爱答不理的样子。里面的工作人员包括保安师傅都很热情，赞一个👍！最可惜的是没有看见花花本花，看来这是需要再去一次喽,2022-08-13IP属地：四川,IP属地：四川,"
点赞",,2022-08-13IP属地：四川,IP属地：四川,"
点赞",
哒哒,5分 超棒,一路搭车，一路看熊猫，开开心心的 没有没有没有哈哈哈哈哈哈 我觉得还是不错的，没有太多的套路 公交直达，很不错的一个地方哦,2022-08-17IP属地：广东,IP属地：广东,"
点赞",,2022-08-17IP属地：广东,IP属地：广东,"
点赞",
110****891,5分 超棒,孩子们约起不知道哪里去了，帮他们预定了这里的门票，后来听说不错。增长的见识。在基地见了大熊猫，也见到了小熊猫，后来在雅安还真见到了野生的小熊猫，就认识了。,2022-08-27IP属地：四川,IP属地：四川,"
点赞",,2022-08-27IP属地：四川,IP属地：四川,"
点赞",
M44****4997,4分 满意,离市区有点远，坐地铁三号线到熊猫大道下车，就有通往基地的大班车。如果赶时间网约车也很快，很方便。园区环境特别好，区里有电瓶车，特别方便，建议早早去，大熊猫会睡觉的，行程不紧的话，可以玩上一整天！,2022-08-21IP属地：河北,IP属地：河北,"
点赞",,2022-08-21IP属地：河北,IP属地：河北,"
点赞",
陌上花开,5分 超棒,四川成都大熊猫繁育基地里一只一个星期左右的大熊猫，太萌了想抬个头都抬不起来。欢迎游客来这里观看。这里植被茂盛，空气清新。休闲娱乐玩一玩,2022-07-04IP属地：未知,IP属地：未知,"
1",,2022-07-04IP属地：未知,IP属地：未知,"
1",
彩色栀子,5分 超棒,景区门票可以在门口扫二维码购票，也可以在携程上购票，有折扣。可以在非高峰期去，因为高峰期小孩子太多了！,2022-06-03IP属地：未知,IP属地：未知,"
2",,2022-06-03IP属地：未知,IP属地：未知,"
2",
陌上花开,5分 超棒,四川成都大熊猫繁育基地的明星们轮流出场了。看看吧，吃有吃相，走有走相，打有打相，玩有玩相。处处有人围观，时时有人鼓掌。功夫熊猫。名不虚传。最喜欢这里了，玩了一天也没觉得累。太棒了。,2022-07-31IP属地：山东,IP属地：山东,"
2",,2022-07-31IP属地：山东,IP属地：山东,"
2",
橘子游,5分 超棒,交通:停车方便，有好几个停车场，停了三个多小时也才四元 门票:网上购买，告别排队买票，直接刷身份证入园 大熊猫一般都是关着在各自的别墅里活动的，很多都是躺着，睡着。不过我们运气比较好，中午一点左右遇到给熊猫投食，感兴趣的可以去我主页看看。最后一张是小熊猫,2022-06-08IP属地：未知,IP属地：未知,"
1",,2022-06-08IP属地：未知,IP属地：未知,"
1",
陌上花开,5分 超棒,在四川成都大熊猫繁育基地里有几只大熊猫是享受贵宾待遇的。单独的别墅里卫生清洁，宽敞明亮，食物应有尽有，过着无人打扰，悠闲自在的的贵族生活，她们个个长得相貌英俊，体态健壮，好羡慕这无忧无虑的富裕日子。,2022-07-10IP属地：未知,IP属地：未知,"
1",,2022-07-10IP属地：未知,IP属地：未知,"
1",
138****9787,5分 超棒,市区地铁一号线直达熊猫基地，园区面积很大，分新区和老区，游览可选观光车或者步行，分熊猫幼崽馆，小熊猫馆和大熊猫馆，暑假人不算多，推荐,2022-08-14IP属地：上海,IP属地：上海,"
点赞",,2022-08-14IP属地：上海,IP属地：上海,"
点赞",
Watson~华,5分 超棒,见到国宝大熊猫和小熊猫，挺有趣的亲子活动，了解生物与自然，生命的意义。园区其实挺大，可惜夏天太热，熊猫都懒懒的待在空调房内睡大觉哈哈，对于游客来说，自然也是有点遗憾吧。,2022-08-13IP属地：广东,IP属地：广东,"
点赞",,2022-08-13IP属地：广东,IP属地：广东,"
点赞",
chrissy3560,4分 满意,夏天，早晨8-10点熊猫活跃。 在景区外面，买好头饰，玩偶等饰品，拍照用。 新区那边目前没意思，绿化还没成熟，没有树荫，秋天可以去，夏天没必要过去。就在老区细致参观就好。,2022-08-27IP属地：北京,IP属地：北京,"
点赞",,2022-08-27IP属地：北京,IP属地：北京,"
点赞",
110****891,5分 超棒,孩子同学们约起去耍，回来反馈很不错。不再见了，大熊猫还看到了小熊猫，后来在出行的时候真见到了一只真正野生的小熊猫，非常兴奋。,2022-08-27IP属地：四川,IP属地：四川,"
点赞",,2022-08-27IP属地：四川,IP属地：四川,"
点赞",
_小蘑菇菇菇,5分 超棒,看到了熊猫本猫吃竹子！刚开始中午他们都在睡觉，下午四点多终于醒了，看到了真实的国宝！不虚此行，太满足了！景区设施很完善！！很满意的景点，一点都不踩雷！非常值得来！,2022-06-22IP属地：未知,IP属地：未知,"
2",,2022-06-22IP属地：未知,IP属地：未知,"
2",
我爱一个人的旅游,5分 超棒,成都大熊猫繁育研究基地，熊猫的5A景区，大熊猫在这里享受生活、享受快乐，展现个性和爱好，在这里，它们享受最好的服务，享受万众瞩目，享受聚光灯的照耀，没有办法，谁叫它们一出生就是明星。,2022-04-08IP属地：未知,IP属地：未知,"
3",,2022-04-08IP属地：未知,IP属地：未知,"
3",
飞云过境,4分 满意,整座基地在山坡上，景色宜人，夏天去很炎热，一大早避免排队去的，很少看到熊猫在室外活动，都在室内避暑。观看小熊猫产房，游客太多，安保工作人员会催人。小熊猫比大熊猫活跃，都能在室外看到，还是观看小熊猫更具乐趣。,2022-08-16IP属地：四川,IP属地：四川,"
点赞",,2022-08-16IP属地：四川,IP属地：四川,"
点赞",
老二123,4分 满意,以前去过两次，第一次陪我妈，第二次陪朋友，这次也是陪朋友。大熊猫怕热不怕冷，温度高在室外看不到，只能在室内看熊猫吹空调睡觉。小熊猫在室外看了。其他不做任何的评价，总体来说来成都旅游的人必去的地方，尤其是带着自己的娃娃。,2022-08-12IP属地：四川,IP属地：四川,"
点赞",,2022-08-12IP属地：四川,IP属地：四川,"
点赞",
功夫熊猫,5分 超棒,从成都市区驱车四十分钟可到达大熊猫繁育研究基地，但是一定要早去，一定要早起，否则到晚了，人就特别多了，如果到了中午，大熊猫就都睡觉了，没有乐趣了，作为国宝，绝对对得起这个称呼，太可爱了，属于到成都的必打卡景点。,2022-08-11IP属地：北京,IP属地：北京,"
点赞",,2022-08-11IP属地：北京,IP属地：北京,"
点赞",
熊新峰,5分 超棒,可可爱爱的大熊猫，成都必来地方。成都大熊猫繁育研究基地基地总面积达3570亩，其中扩建区面积为2535亩。基地以造园手法模拟大熊猫野外生态环境，大熊猫产房、熊猫饲养区、科研中心、熊猫医院分布有序，若干处豪华熊猫“别墅”散落于山林之中。扩建区充分遵循并沿用原始地形地貌，利用山体冲沟及溪流形成山地溪谷多层次景观带；根据熊猫主题特点，将项目总体划分为多个区域。截至2020年末，大熊猫种群数量达215只，是全球最大的圈养大熊猫人工繁殖种群,2022-07-13IP属地：未知,IP属地：未知,"
点赞",,2022-07-13IP属地：未知,IP属地：未知,"
点赞",
Visionary168,5分 超棒,买的超级会员终于可以用上了，可以优惠2块钱🤣，买完后，直接刷身份证就可以进去了。在将近四十度的高温下暴走，幸好里面有绿化可以挡一下。早上七点半到的，也要排起队来，暑假的人还真多呀。天气太热了，熊猫都吹起空调来了，被可爱的熊猫萌到了。个人觉得这里是成都最值得去的地方，里面的纪念品有点点贵。,2022-07-10IP属地：未知,IP属地：未知,"
点赞",,2022-07-10IP属地：未知,IP属地：未知,"
点赞",
m50****9008,4分 满意,节假日一定早点去，尤其夏季。人比较多，熊猫本身就懒，还怕热，夏天很热不出来了，出来的也爬着，所以7点半开门，订好票直接身份证进去。新区规划比较好，室外看不到，室内也能看到。老区一定要去月亮产房看看，但是注意单循环排队。,2022-07-10IP属地：未知,IP属地：未知,"
点赞",,2022-07-10IP属地：未知,IP属地：未知,"
点赞",
_WeCh****38094,5分 超棒,夏天一定要早一点去，否则天气热熊猫宝贝就不能户外玩耍了！这是相隔近20年第二次来，带的孩子一起，师傅从西门停的车。西门这边很大，距离很远，每个馆有两只熊猫宝宝，要想看户外活动的熊猫，还得去老区那边，可惜我们顺着西门的馆子逛过去，快中午了熊猫都热的回屋了！不管怎样，熊猫超级可爱，孩子很开心！ 老区出口有很多卖熊猫周边的，熊猫玩偶外面好便宜，和里面价格差很多，如果孩子不是太着急买，出门再买性价比超高,2022-07-05IP属地：未知,IP属地：未知,"
点赞",,2022-07-05IP属地：未知,IP属地：未知,"
点赞",
姚游中国,5分 超棒,熊猫非常可爱。看到它，之前所有的不愉快都能治愈。建议10点之前到。晚了熊猫就会睡觉啦。这个景区疫情防控很奇葩，需要四川省24小时核酸报告，其他地方不认。检查核酸和健康码的服务也很差劲。很多外省，就是专门飞过来看大熊猫的。希望该景区不要一刀切。,2022-07-03IP属地：未知,IP属地：未知,"
点赞",,2022-07-03IP属地：未知,IP属地：未知,"
点赞",
迪肯孔裴矩,5分 超棒,"门票敗:一定一定一定!要提前在网上买好，在微信上搜成都大熊猫繁育基地，点击立即购票，全价票55，半价票27需配合相关证件

熊猫头饰:如果想要“伪装”成国宝，一定要在园外购买，园内的价格翻了两倍都不止。(所以发家致富的好方法就是在园外买一堆然后进去卖，

入园:最晚7点10分一定要在园区外面排上队，之前看攻略说左边的队伍快，但其实哪个队伍都差不太多，7点半准时入场，会有工作人员提醒把二维码提前准备",2022-06-17IP属地：未知,IP属地：未知,"
点赞",,2022-06-17IP属地：未知,IP属地：未知,"
点赞",
陌上花开,5分 超棒,这是在四川成都大熊猫繁育基地拍的大熊猫从出生到长大后的照片。很惊讶，大熊猫刚出生才有小拇手指那么大，然后迅速成长，两岁就是成年了，体重200斤。是不是很刺激呀。,2022-05-11IP属地：未知,IP属地：未知,"
4",,2022-05-11IP属地：未知,IP属地：未知,"
4",
Tiger_1962,5分 超棒,成都大熊猫繁育研究基地是全球最大的大熊猫繁育研究基地，是国家4A级旅游景区。园内有模拟大熊猫野外生存的生态环境，有大熊猫室内和室外的的活动场所，在室内游客可以近距离的观看大熊猫憨态可掬的样子。,2022-06-25IP属地：未知,IP属地：未知,"
点赞",,2022-06-25IP属地：未知,IP属地：未知,"
点赞",
我爱一个人的旅游,5分 超棒,成都大熊猫繁育研究基地，是人们参观大熊猫生活习惯的地方，也是大熊猫的家。这里绿树成荫，水质清澈，为了让大熊猫每天吃上可口的美味，竹子林特别多。,2022-07-30IP属地：贵州,IP属地：贵州,"
点赞",,2022-07-30IP属地：贵州,IP属地：贵州,"
点赞",
陌上花开,5分 超棒,这是四川成都大熊猫繁育基地里最悠闲自在的一只大熊猫了。你看他背靠树杈，一副懒洋洋悠闲自得的样子。独享这青春年华。时不时的还用脚骚骚痒。太好玩了,2022-06-03IP属地：未知,IP属地：未知,"
2",,2022-06-03IP属地：未知,IP属地：未知,"
2",
密密麻麻,5分 超棒,很不错，要早去最好8点之前。不然人会很多！身体不好的一定要做游览车！走路太累了！国宝  小熊猫  孔雀都可以看到！竹林  树木环绕  最后还可以买买文创产品！景区有旅游大巴车  到宽窄巷子才5元钱！,2022-07-20IP属地：未知,IP属地：未知,"
点赞",,2022-07-20IP属地：未知,IP属地：未知,"
点赞",
陌上花开,5分 超棒,大熊猫和小孩子一样，就喜欢在一起打打闹闹，。你看，这三只大熊猫吃饱了喝足了，就开始打闹玩耍了，没有国界，不分种族，不记仇，不拉帮。文明打闹，强身健体。赞一个。,2022-06-23IP属地：未知,IP属地：未知,"
1",,2022-06-23IP属地：未知,IP属地：未知,"
1",
家明.,4分 满意,这里是看熊猫的最佳地点，数量很多，虽然现在不能摸了，但近距离观看也很满足，胖达真的是世界上最可爱的动物，好想尝尝它的肉是什么味道呀～,2022-08-28IP属地：四川,IP属地：四川,"
点赞",,2022-08-28IP属地：四川,IP属地：四川,"
点赞",
斗鱼1988,4分 满意,应为夏天，熊猫都在产房纳凉，大概10多只，不推荐去。 地方太大了，都是林子，疫情期间博物馆和剧场都没看。其他小熊猫3只，孔雀2只。,2022-08-09IP属地：陕西,IP属地：陕西,"
点赞",,2022-08-09IP属地：陕西,IP属地：陕西,"
点赞",
小猴子的影子,5分 超棒,成都比较值得来的一个景点，熊猫专线直达景区门口，交通非常方便！里面各种熊猫的房间，能够玩上半天，可惜没看见刚生出来的小熊猫！,2022-04-03IP属地：未知,IP属地：未知,"
4",,2022-04-03IP属地：未知,IP属地：未知,"
4",
