 字段 1 , 字段 2 , 字段 3 , 字段 4 , 字段 5 , 字段 6 , 字段 7 , 字段 8 , 字段 9 , 字段 10 , 字段 11 
 小黎 子 , 5 分   超棒 , 第一次 来 成都 ， 第一个 想 去 的 地方 就是 看看 咱们 伟大 中华民族 的 国宝 大熊猫 ， 里面 的 园区 很大 ， 8 月底 ， 很 长时间 没有 干旱 无雨 的 成都 下起 了 大雨 ， 虽然 有点 措手不及 ， 但是 下雨 的 最大 好处 就是 凉快 ， 再 加上 里面 的 绿色 植被 特别 的 多 ， 确实 不虚此行 啊 ！ 然后 就是 大熊猫 怕热 所以 夏天 去 他们 基本上 不是 在 空调 房 睡觉 就是 吃 东西 ， 这是 唯一 败兴 的 地方 ， 希望 10 月 和 我 老婆 再 来 一次 的 时候 ， 可以 看到 他们 在 室外 活动 的 样子 ， 确实 非常 可爱 ， 值得 一去 。 另外 ， 想 锻炼身体 的 那 是 个 好 地方 ， 如果 是 溜 娃 的 千万千万 要 在 门口 买 30 元 一个 人 的 景 游览车 的 票 ， 要 不会 走路 走到 你 怀疑 人生 的 , 2022 - 08 - 24IP 属地 ： 四川 , IP 属地 ： 四川 , "  
 点赞 " ,  , 2022 - 08 - 24IP 属地 ： 四川 , IP 属地 ： 四川 , "  
 点赞 " ,  
 梦想家 CC , 5 分   超棒 , 有 各种 年龄段 的 大熊猫 可以 看 ， 很 长见识 。 小朋友 特别 喜欢 ， 还有 小熊猫 放养 区 ， 近距离 接触 感觉 很 奇妙 。 小朋友 很 开心 。 就是 来 的 时候 门口 没有 向导 ， 指引 器 也 没人教 怎么 使用 。 连 个 景区 地图 导引 都 没有 ， 指示牌 也 不是 很 明确 ， 我们 来回 走 了 好几趟 。 希望 服务 可以 提高 。 , 2022 - 08 - 07IP 属地 ： 四川 , IP 属地 ： 四川 , "  
 点赞 " ,  , 2022 - 08 - 07IP 属地 ： 四川 , IP 属地 ： 四川 , "  
 点赞 " ,  
 会飞 的 猴 猴 , 5 分   超棒 , 各种 大熊猫 🐼 ， 小熊猫 … … 国庆节 挺 凉快 的 ， 建议 早晨 一 开园 就 来 ， 中午 来 熊猫 都 睡着 了 ， 有醒 的 也 是 背对着 人 吃 东西 ， 个人感觉 熊猫 听得懂 用 四川话 喊 它们 ， 普通话 叫 它们 名字 没 反应 ， 用 四川话 试试 ， 会 有 意外 收获 哦 ！ , 2022 - 08 - 27IP 属地 ： 湖北 , IP 属地 ： 湖北 , "  
 点赞 " ,  , 2022 - 08 - 27IP 属地 ： 湖北 , IP 属地 ： 湖北 , "  
 点赞 " ,  
 M26 * * * * 5978 , 5 分   超棒 , 来 成都 旅行 怎能不 看萌萌 的 大熊猫 呀 🐼 🚌 交通 ： 我们 住 在 春熙路 ， 有 直达 的 景区 大巴 ， 途经 宽窄 巷子 站 ， 上车 扫码 买票 挺 方便 的 ， 往返 都 可以 坐 ， 单程 5 元 / 人 . 💰 门票 ： 55 / 人 ， 在 网上 提前 购买 ， 到 现场 刷 身份证 即可 入场 . ⏰ 营业时间 ： 7 ： 30 - 18 ： 00 我们 十一点多 才 到 ， 去 晚 啦 没 看到 给 大熊猫 喂食 的 场景 建议 大家 早点 去 ， 最好 是 开园 就 进场 ～ 1 ⃣ 因为 太热 了 我们 只 逛 了 老 园区 ， 游玩 时间 3 小时 左右 2 ⃣ 入场 后 买 了 观光 车票 ， 往返 10 元 / 人 ， 可 直达 老 景区 省 了 很多 步行 时间 .# 成都 # 成都 探店 # 成都旅游 # 成都旅游 攻略 , 2022 - 07 - 25IP 属地 ： 海南 , IP 属地 ： 海南 , "  
 1 " ,  , 2022 - 07 - 25IP 属地 ： 海南 , IP 属地 ： 海南 , "  
 1 " ,  
 M54 * * * * 549 , 5 分   超棒 , 新区 很 国际 范 ， 每个 卫生间 都 配 了 家庭 厕所 ， 纸巾 充足 马桶 高级 ， 到处 都 很 干净 ， 非常适合 带 小朋友 玩 ， 建议 从 南门 进 西门 出 ， 不用 开车 也 就 避免 了 走回头路 ， 有 专门 的 摆渡 车 很 方便 ， 不过 目前 试营业 ， 很多 都 没有 开放 ， 希望 越来越 好 。   对 了 ， 如果 想 看 刚出生 的 大熊猫 ， 要 6 到 9 月份 去 哦 ⊙ ∀ ⊙ ！ , 2022 - 05 - 16IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 5 " ,  , 2022 - 05 - 16IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 5 " ,  
 陌上 花 开  , 5 分   超棒 , 功夫 熊猫 名不虚传 ， 在 四川 成都 大熊猫 繁育 基地 里 看到 的 ， 身手 矫健 的 大熊猫 爬树 本领 当属 一流 。 就是 掉下去 的 时候 我 的 心 都 提到 嗓子眼 了 ， 真是 佩服 她 的 本领 。 国宝 熊猫 真 可爱 。 , 2022 - 09 - 03IP 属地 ： 山东 , IP 属地 ： 山东 , "  
 1 " ,  , 2022 - 09 - 03IP 属地 ： 山东 , IP 属地 ： 山东 , "  
 1 " ,  
 彩色 栀子 , 5 分   超棒 , 好多 可爱 的 大熊猫 和 小熊猫 ， 每 一只 都 憨态可掬 ， 恨不得 抱抱 她们 🌝 ， 门票 也 不贵 ， 带娃 去 玩 ， 值 了 。 , 2022 - 08 - 03IP 属地 ： 四川 , IP 属地 ： 四川 , "  
 点赞 " ,  , 2022 - 08 - 03IP 属地 ： 四川 , IP 属地 ： 四川 , "  
 点赞 " ,  
 卡哈马卡 布拉德 , 5 分   超棒 , 7 点半 进去 果然 没错 ， 做 观光车 到 月亮 产房 下 ， 看到 了 两只 在 室外 的 熊猫 ， 还有 熊猫 宝宝 特别 可爱 ， 天鹅湖 景色 不错 ， 可以 坐 着 休息 ， 出去 以后 有 直通车 去 春熙路 宽窄 巷子 ， 正好 可以 去 吃 中饭 , 2022 - 08 - 17IP 属地 ： 四川 , IP 属地 ： 四川 , "  
 点赞 " ,  , 2022 - 08 - 17IP 属地 ： 四川 , IP 属地 ： 四川 , "  
 点赞 " ,  
 320 * * * * 740 , 5 分   超棒 , 身为 成都 人 还 第一次 来 熊猫 基地 ， 一直 听 身边 人 强烈推荐 ， 带 小孩 过来 亲子 游 非常适合 ， 目前 交通 也 挺 方便 的 ， 自驾车 的话 有 “ 欢欢 ” “ 迎迎 ” 两个 停车场 ， 坐 公共交通 出行 可以 乘坐 地铁 3 号线 到 熊猫 大道 下 转乘 景区 直通车 10 分钟 就 到 ， 成都 7 - 8 月 高温 一定 要 早点 进 园区 ， 早点 来 的话 可以 看到 很多 熊猫 宝宝 在 户外活动 ， 园区 挺大 的 ， 如果 不 坐 观光车 ， 要 步行 5 个 小时 左右 才能 逛 完 ， 里面 还有 小 熊猫馆 ， 特别 有意思 ， 我们 今天 就 来 的 比较 晚 ， 都 快 被 晒 死 了 ， 幸好 中午 在 熊猫 广场 吃饭 时 发现 这里 还有 个 免税店 ， 进去 逛 了 一下 感觉 和 三亚 价格 差不多 ， 顺便 就 带 了 一些 防晒 和 喷雾 ， 赶紧 给 自己 降降温 ， 总之 这里 挺 推荐 的 。 , 2022 - 07 - 08IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  , 2022 - 07 - 08IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 点赞 " ,  
 陌上 花 开  , 5 分   超棒 , 四川 成都 大熊猫 繁育 基地 里 有 一二百 只 大熊猫 ， 是 中国 大熊猫 最多 的 熊猫馆 。 在 月亮 产 房里 可以 看到 刚出生 的 大熊猫 。 这里 的 大熊猫 活泼可爱 ， 引起 众多 游客 围观 。 记得 临走 买 只 大熊猫 毛绒玩具 吆 。 , 2022 - 07 - 29IP 属地 ： 山东 , IP 属地 ： 山东 , "  
 1 " ,  , 2022 - 07 - 29IP 属地 ： 山东 , IP 属地 ： 山东 , "  
 1 " ,  
 M42 * * * * 357 , 5 分   超棒 , 这里 绝对 是 去 了 在 也 不想 去 的 地方 ， 基地 内 环境 还是 不错 的 ， 就是 不要 中午 去 熊猫 都 吃饭 睡午觉 了 ， 里面 配套 设施 太 差 整个 景区 内 大热天 的 居然 没有 买 到 一瓶 水 更 别说 别的 了 , 2022 - 08 - 29IP 属地 ： 四川 , IP 属地 ： 四川 , "  
 点赞 " ,  , 2022 - 08 - 29IP 属地 ： 四川 , IP 属地 ： 四川 , "  
 点赞 " ,  
 泡 芙 小妹妹 , 5 分   超棒 , 超级 可爱 的 熊猫 宝宝   去 成都 必去 打卡 之地   运气 好 的话 还 可以 遇到 刚出生 需要 喝奶 的 baby   每个 熊猫 都 有 自己 的 名字   特别 温顺   适合 亲子 打卡 游玩   还有 很多 周边 可以 购买 ！ , 2022 - 09 - 12IP 属地 ： 安徽 , IP 属地 ： 安徽 , "  
 点赞 " ,  , 2022 - 09 - 12IP 属地 ： 安徽 , IP 属地 ： 安徽 , "  
 点赞 " ,  
 陌上 花 开  , 5 分   超棒 , 四川 成都 大熊猫 繁育 基地 是 全国 最 有名 的 大熊猫 乐园 。 最小 的 在 月亮 产房 ， 其余 的 按 大大小小 安置 。 这里 的 大熊猫 活泼可爱 ， 经常 惹 得 游客 围观 哄笑 。 别忘了 临走 买 一只 大熊猫 毛绒玩具 吆 。 , 2022 - 06 - 29IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 1 " ,  , 2022 - 06 - 29IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 1 " ,  
 286 * * * * 628 , 5 分   超棒 , 开心 的 成都 之旅 ， 不仅 吃 到 美食 ， 更 近距离 接触 了 可爱 的 大熊猫 。 一定 要 早 去 ， 进 了 园区 先去 看 熊猫 宝宝 。 不然 人会 非常 多 ， 回去 的 时候 再 慢慢 看 其它 的 熊猫 。 , 2022 - 08 - 11IP 属地 ： 天津 , IP 属地 ： 天津 , "  
 点赞 " ,  , 2022 - 08 - 11IP 属地 ： 天津 , IP 属地 ： 天津 , "  
 点赞 " ,  
 135 * * * * 7708 , 4 分   满意 , 来 成都 怎么 能 不 看 国宝 。 看 了 好多 攻略 决定 起早 前往 。 地铁 坐 到 军区 总医院 后 网约车 到达 老区 。 下车 步行 近一 公里 ， 这次 没 坐 电瓶车 ， 进 园区 开始 各种 爬山 。 排队 ， 开放 场馆 不 多 ， 熊猫 没有 几个 ， 室内 写 着 禁止喧哗 ， 但是 工作人员 的 大 喇叭 比 谁 声音 都 大 ， 好多 场馆 都 不开 ， 写 着 装修 ， 要 不 就是 因为 发情期 或者 其他 理由 关闭 ， 到达 熊猫 塔 ， 是 去往 新区 的 最后 一站 ， 电瓶车 等待时间 太 长 ， 经常 有 排队 时间 长 吵架 的 情况 发生 ， 希望 园区 管理 部门 协调 一下 。 , 2022 - 07 - 07IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 1 " ,  , 2022 - 07 - 07IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 1 " ,  
 @ 小 清新 @ , 5 分   超棒 , 今天 游玩 真的 很 不错 ， 不是 在 旅游 旺季 来 的 ， 人 也 不太多 ， 之前 做 的 攻略 ， 去 了 以后 觉得 攻略 也 挺 有用 的 ， 老区 熊猫 更 憨态可掬 ， 它们 都 在 室外 ， 新区 熊猫 都 在 各个 馆 ， 各有特色 ， 孩子 特别 开心 ！ , 2022 - 08 - 26IP 属地 ： 四川 , IP 属地 ： 四川 , "  
 点赞 " ,  , 2022 - 08 - 26IP 属地 ： 四川 , IP 属地 ： 四川 , "  
 点赞 " ,  
 286 * * * * 628 , 5 分   超棒 , 近距离 接触 熊猫 很 开心 。 尤其 是 熊猫 宝宝 太 可爱 了 。 就是 排队 人太对 。 摆渡 车 可以 不用 坐 ， 园区 整体 都 是 很 干净 。 门口 公交车 方便 ， 直接 送到 地铁站 。 , 2022 - 08 - 11IP 属地 ： 天津 , IP 属地 ： 天津 , "  
 点赞 " ,  , 2022 - 08 - 11IP 属地 ： 天津 , IP 属地 ： 天津 , "  
 点赞 " ,  
 北遇 落魄 , 5 分   超棒 , 景色 优美 ， 但 不 适合 天热 的 时候 去 ， 等 天气 凉爽 之后 ， 熊猫 们 会 在 户外 出行 。 地方 挺大 ， 而且 国宝 们 都 超级 可爱 ， 性价比 很棒 ， 来 成都 的 必去 之 地 。 , 2022 - 09 - 13IP 属地 ： 甘肃 , IP 属地 ： 甘肃 , "  
 点赞 " ,  , 2022 - 09 - 13IP 属地 ： 甘肃 , IP 属地 ： 甘肃 , "  
 点赞 " ,  
 浅 月 花影 , 5 分   超棒 , 国宝 大熊猫 憨态可掬 好 可爱 啊 ， 但是 也好 懒 ， 饲养员 把 苹果 送到 眼前 它 都 不 转 一下头 ， 但是 非常 幸运 看到 大熊猫 吃 苹果 的 样子 ， 非常 值得 一游 , 2022 - 08 - 19IP 属地 ： 广东 , IP 属地 ： 广东 , "  
 点赞 " ,  , 2022 - 08 - 19IP 属地 ： 广东 , IP 属地 ： 广东 , "  
 点赞 " ,  
 M22 * * * * 449 , 5 分   超棒 , 顶 着 37 度 的 高温 去 看 可爱 的 熊猫 🐼 看到 小熊猫 心 瞬间 被 萌化 ， 有 嬉戏 打闹 的 、 有 趴着睡 觉 的 、 有 吃 竹子 的 、 还有 在 镜头 前 打滚 卖萌 的 ， 熊猫 宝宝 实在 太 可爱 了 。 , 2022 - 08 - 12IP 属地 ： 广东 , IP 属地 ： 广东 , "  
 1 " ,  , 2022 - 08 - 12IP 属地 ： 广东 , IP 属地 ： 广东 , "  
 1 " ,  
 🐶   都 不 爱 的 东西 , 5 分   超棒 , 大多数 熊猫 都 在 湖泊 区 （ 其他 都 是 新区 ） ， 最好 德 时间 建议 九点 之后 （ 因为 九点 之前 的 熊猫 好像 不怎么 有 精神 ） ， 不过 。 还是 跟 可爱 值 了 ！ , 2022 - 08 - 31IP 属地 ： 四川 , IP 属地 ： 四川 , "  
 点赞 " ,  , 2022 - 08 - 31IP 属地 ： 四川 , IP 属地 ： 四川 , "  
 点赞 " ,  
 M33 * * * * 842 , 5 分   超棒 , 夏天 好像 熊猫 不太爱动 得 一大早 起来 去 排队 进去 ， 每个 熊猫 别墅 都 很挤 ， 暑假 人太多 了 ， 但是 学生 没 办法 ， 而且 因为 天热 熊猫 只 出来 一会 会 , 2022 - 08 - 13IP 属地 ： 江苏 , IP 属地 ： 江苏 , "  
 点赞 " ,  , 2022 - 08 - 13IP 属地 ： 江苏 , IP 属地 ： 江苏 , "  
 点赞 " ,  
 E12 * * * * 60 , 4 分   满意 , 需要 早点 去 ， 9 点到 那 已经 看不到 花花 了 ， 几乎 全部 的 熊猫 都 已经 回到 室内 了 。 老园 还是 不错 的 新园 感觉 没 必要 去 。 南 门口 负责 游览车 的 小姐姐 态度 非常 不好 ， 一副 爱答不理 的 样子 。 里面 的 工作人员 包括 保安 师傅 都 很 热情 ， 赞 一个 👍 ！ 最 可惜 的 是 没有 看见 花花 本花 ， 看来 这是 需要 再 去 一次 喽 , 2022 - 08 - 13IP 属地 ： 四川 , IP 属地 ： 四川 , "  
 点赞 " ,  , 2022 - 08 - 13IP 属地 ： 四川 , IP 属地 ： 四川 , "  
 点赞 " ,  
 哒 哒 , 5 分   超棒 , 一路 搭车 ， 一路 看 熊猫 ， 开开心心 的   没有 没有 没有 哈哈哈 哈哈哈   我 觉得 还是 不错 的 ， 没有 太多 的 套路   公交 直达 ， 很 不错 的 一个 地方 哦 , 2022 - 08 - 17IP 属地 ： 广东 , IP 属地 ： 广东 , "  
 点赞 " ,  , 2022 - 08 - 17IP 属地 ： 广东 , IP 属地 ： 广东 , "  
 点赞 " ,  
 110 * * * * 891 , 5 分   超棒 , 孩子 们 约 起 不 知道 哪里 去 了 ， 帮 他们 预定 了 这里 的 门票 ， 后来 听说 不错 。 增长 的 见识 。 在 基地 见 了 大熊猫 ， 也 见到 了 小熊猫 ， 后来 在 雅安 还 真 见到 了 野生 的 小熊猫 ， 就 认识 了 。 , 2022 - 08 - 27IP 属地 ： 四川 , IP 属地 ： 四川 , "  
 点赞 " ,  , 2022 - 08 - 27IP 属地 ： 四川 , IP 属地 ： 四川 , "  
 点赞 " ,  
 M44 * * * * 4997 , 4 分   满意 , 离 市区 有点 远 ， 坐地铁 三号 线到 熊猫 大道 下车 ， 就 有 通往 基地 的 大 班车 。 如果 赶时间 网约车 也 很快 ， 很 方便 。 园区 环境 特别 好 ， 区里 有 电瓶车 ， 特别 方便 ， 建议 早早 去 ， 大熊猫 会 睡觉 的 ， 行程 不紧 的话 ， 可以 玩上 一整天 ！ , 2022 - 08 - 21IP 属地 ： 河北 , IP 属地 ： 河北 , "  
 点赞 " ,  , 2022 - 08 - 21IP 属地 ： 河北 , IP 属地 ： 河北 , "  
 点赞 " ,  
 陌上 花 开  , 5 分   超棒 , 四川 成都 大熊猫 繁育 基地 里 一只 一个 星期 左右 的 大熊猫 ， 太萌 了 想 抬 个头 都 抬 不 起来 。 欢迎 游客 来 这里 观看 。 这里 植被 茂盛 ， 空气清新 。 休闲 娱乐 玩一玩 , 2022 - 07 - 04IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 1 " ,  , 2022 - 07 - 04IP 属地 ： 未知 , IP 属地 ： 未知 , "  
 1 " ,  
